========
Segment 0, number of frames = 41853, viterbi-score = 212271.426068
Printing random variables from (P,C,E)=(1,41852,0) sections
Ptn-0 P: G(0)=1,P1(0)=6,P2(0)=14,Z(0)=0
Ptn-346 C: G(346)=2,P1(346)=6,P2(346)=14,Z(346)=0
Ptn-347 C: G(347)=2,P1(347)=6,P2(347)=14,Z(347)=0
Ptn-348 C: G(348)=2,P1(348)=6,P2(348)=14,Z(348)=0
Ptn-349 C: G(349)=2,P1(349)=6,P2(349)=14,Z(349)=0
Ptn-350 C: G(350)=2,P1(350)=6,P2(350)=14,Z(350)=0
Ptn-351 C: G(351)=2,P1(351)=6,P2(351)=14,Z(351)=0
Ptn-352 C: G(352)=2,P1(352)=6,P2(352)=14,Z(352)=0
Ptn-353 C: G(353)=2,P1(353)=6,P2(353)=14,Z(353)=0
Ptn-354 C: G(354)=2,P1(354)=6,P2(354)=14,Z(354)=0
Ptn-355 C: G(355)=2,P1(355)=6,P2(355)=14,Z(355)=0
Ptn-356 C: G(356)=2,P1(356)=6,P2(356)=14,Z(356)=0
Ptn-357 C: G(357)=2,P1(357)=6,P2(357)=14,Z(357)=0
Ptn-358 C: G(358)=2,P1(358)=6,P2(358)=14,Z(358)=0
Ptn-359 C: G(359)=2,P1(359)=6,P2(359)=14,Z(359)=0
Ptn-360 C: G(360)=4,P1(360)=6,P2(360)=14,Z(360)=0
Ptn-361 C: G(361)=4,P1(361)=6,P2(361)=14,Z(361)=0
Ptn-362 C: G(362)=4,P1(362)=6,P2(362)=14,Z(362)=0
Ptn-363 C: G(363)=4,P1(363)=6,P2(363)=14,Z(363)=0
Ptn-364 C: G(364)=4,P1(364)=6,P2(364)=14,Z(364)=0
Ptn-365 C: G(365)=2,P1(365)=6,P2(365)=14,Z(365)=0
Ptn-366 C: G(366)=2,P1(366)=6,P2(366)=14,Z(366)=0
Ptn-367 C: G(367)=2,P1(367)=6,P2(367)=14,Z(367)=0
Ptn-368 C: G(368)=2,P1(368)=6,P2(368)=14,Z(368)=0
Ptn-369 C: G(369)=2,P1(369)=6,P2(369)=14,Z(369)=0
Ptn-370 C: G(370)=2,P1(370)=6,P2(370)=14,Z(370)=0
Ptn-371 C: G(371)=2,P1(371)=6,P2(371)=14,Z(371)=0
Ptn-372 C: G(372)=2,P1(372)=6,P2(372)=14,Z(372)=0
Ptn-373 C: G(373)=2,P1(373)=6,P2(373)=14,Z(373)=0
Ptn-374 C: G(374)=2,P1(374)=6,P2(374)=14,Z(374)=0
Ptn-375 C: G(375)=2,P1(375)=6,P2(375)=14,Z(375)=0
Ptn-376 C: G(376)=2,P1(376)=6,P2(376)=14,Z(376)=0
Ptn-377 C: G(377)=2,P1(377)=6,P2(377)=14,Z(377)=0
Ptn-378 C: G(378)=2,P1(378)=6,P2(378)=14,Z(378)=0
Ptn-379 C: G(379)=2,P1(379)=6,P2(379)=14,Z(379)=0
Ptn-380 C: G(380)=2,P1(380)=6,P2(380)=14,Z(380)=0
Ptn-381 C: G(381)=2,P1(381)=6,P2(381)=14,Z(381)=0
Ptn-382 C: G(382)=2,P1(382)=6,P2(382)=14,Z(382)=0
Ptn-383 C: G(383)=2,P1(383)=6,P2(383)=14,Z(383)=0
Ptn-384 C: G(384)=2,P1(384)=6,P2(384)=14,Z(384)=0
Ptn-385 C: G(385)=2,P1(385)=6,P2(385)=14,Z(385)=0
Ptn-386 C: G(386)=2,P1(386)=6,P2(386)=14,Z(386)=0
Ptn-387 C: G(387)=2,P1(387)=6,P2(387)=14,Z(387)=0
Ptn-388 C: G(388)=2,P1(388)=6,P2(388)=14,Z(388)=0
Ptn-389 C: G(389)=2,P1(389)=6,P2(389)=14,Z(389)=0
Ptn-390 C: G(390)=2,P1(390)=6,P2(390)=14,Z(390)=0
Ptn-391 C: G(391)=2,P1(391)=6,P2(391)=14,Z(391)=0
Ptn-392 C: G(392)=2,P1(392)=6,P2(392)=14,Z(392)=0
Ptn-393 C: G(393)=2,P1(393)=6,P2(393)=14,Z(393)=0
Ptn-394 C: G(394)=2,P1(394)=6,P2(394)=14,Z(394)=0
Ptn-395 C: G(395)=2,P1(395)=6,P2(395)=14,Z(395)=0
Ptn-396 C: G(396)=2,P1(396)=6,P2(396)=14,Z(396)=0
Ptn-397 C: G(397)=2,P1(397)=6,P2(397)=14,Z(397)=0
Ptn-398 C: G(398)=2,P1(398)=6,P2(398)=14,Z(398)=0
Ptn-399 C: G(399)=2,P1(399)=6,P2(399)=14,Z(399)=0
Ptn-400 C: G(400)=2,P1(400)=6,P2(400)=14,Z(400)=0
Ptn-401 C: G(401)=2,P1(401)=6,P2(401)=14,Z(401)=0
Ptn-402 C: G(402)=2,P1(402)=6,P2(402)=14,Z(402)=0
Ptn-403 C: G(403)=2,P1(403)=6,P2(403)=14,Z(403)=0
Ptn-404 C: G(404)=2,P1(404)=6,P2(404)=14,Z(404)=0
Ptn-405 C: G(405)=2,P1(405)=6,P2(405)=14,Z(405)=0
Ptn-406 C: G(406)=2,P1(406)=6,P2(406)=14,Z(406)=0
Ptn-407 C: G(407)=2,P1(407)=6,P2(407)=14,Z(407)=0
Ptn-408 C: G(408)=2,P1(408)=6,P2(408)=14,Z(408)=0
Ptn-409 C: G(409)=2,P1(409)=6,P2(409)=14,Z(409)=0
Ptn-410 C: G(410)=2,P1(410)=6,P2(410)=14,Z(410)=0
Ptn-411 C: G(411)=2,P1(411)=6,P2(411)=14,Z(411)=0
Ptn-412 C: G(412)=2,P1(412)=6,P2(412)=14,Z(412)=0
Ptn-413 C: G(413)=3,P1(413)=6,P2(413)=14,Z(413)=1
Ptn-414 C: G(414)=3,P1(414)=6,P2(414)=14,Z(414)=1
Ptn-415 C: G(415)=3,P1(415)=6,P2(415)=14,Z(415)=1
Ptn-416 C: G(416)=3,P1(416)=6,P2(416)=14,Z(416)=1
Ptn-417 C: G(417)=2,P1(417)=6,P2(417)=14,Z(417)=1
Ptn-418 C: G(418)=2,P1(418)=6,P2(418)=14,Z(418)=1
Ptn-419 C: G(419)=2,P1(419)=6,P2(419)=14,Z(419)=1
Ptn-420 C: G(420)=3,P1(420)=6,P2(420)=14,Z(420)=1
Ptn-421 C: G(421)=3,P1(421)=6,P2(421)=14,Z(421)=1
Ptn-422 C: G(422)=2,P1(422)=6,P2(422)=14,Z(422)=1
Ptn-423 C: G(423)=2,P1(423)=6,P2(423)=14,Z(423)=1
Ptn-424 C: G(424)=2,P1(424)=6,P2(424)=14,Z(424)=1
Ptn-425 C: G(425)=2,P1(425)=6,P2(425)=14,Z(425)=1
Ptn-426 C: G(426)=2,P1(426)=6,P2(426)=14,Z(426)=1
Ptn-427 C: G(427)=2,P1(427)=6,P2(427)=14,Z(427)=1
Ptn-428 C: G(428)=2,P1(428)=6,P2(428)=14,Z(428)=1
Ptn-429 C: G(429)=2,P1(429)=6,P2(429)=14,Z(429)=1
Ptn-430 C: G(430)=2,P1(430)=6,P2(430)=14,Z(430)=1
Ptn-431 C: G(431)=3,P1(431)=6,P2(431)=14,Z(431)=1
Ptn-432 C: G(432)=3,P1(432)=6,P2(432)=14,Z(432)=1
Ptn-433 C: G(433)=3,P1(433)=6,P2(433)=14,Z(433)=1
Ptn-434 C: G(434)=2,P1(434)=6,P2(434)=14,Z(434)=1
Ptn-435 C: G(435)=2,P1(435)=6,P2(435)=14,Z(435)=1
Ptn-436 C: G(436)=2,P1(436)=6,P2(436)=14,Z(436)=1
Ptn-437 C: G(437)=2,P1(437)=6,P2(437)=14,Z(437)=1
Ptn-438 C: G(438)=2,P1(438)=6,P2(438)=14,Z(438)=1
Ptn-439 C: G(439)=2,P1(439)=6,P2(439)=14,Z(439)=1
Ptn-440 C: G(440)=2,P1(440)=6,P2(440)=14,Z(440)=1
Ptn-441 C: G(441)=3,P1(441)=6,P2(441)=14,Z(441)=1
Ptn-442 C: G(442)=3,P1(442)=6,P2(442)=14,Z(442)=1
Ptn-443 C: G(443)=3,P1(443)=6,P2(443)=14,Z(443)=1
Ptn-444 C: G(444)=3,P1(444)=6,P2(444)=14,Z(444)=1
Ptn-445 C: G(445)=3,P1(445)=6,P2(445)=14,Z(445)=0
Ptn-446 C: G(446)=3,P1(446)=6,P2(446)=14,Z(446)=0
Ptn-447 C: G(447)=3,P1(447)=6,P2(447)=14,Z(447)=0
Ptn-448 C: G(448)=3,P1(448)=6,P2(448)=14,Z(448)=0
Ptn-449 C: G(449)=3,P1(449)=6,P2(449)=14,Z(449)=0
Ptn-450 C: G(450)=3,P1(450)=6,P2(450)=14,Z(450)=1
Ptn-451 C: G(451)=2,P1(451)=6,P2(451)=14,Z(451)=1
Ptn-452 C: G(452)=2,P1(452)=6,P2(452)=14,Z(452)=1
Ptn-453 C: G(453)=3,P1(453)=6,P2(453)=14,Z(453)=0
Ptn-454 C: G(454)=3,P1(454)=6,P2(454)=14,Z(454)=0
Ptn-455 C: G(455)=3,P1(455)=6,P2(455)=14,Z(455)=0
Ptn-456 C: G(456)=3,P1(456)=6,P2(456)=14,Z(456)=0
Ptn-457 C: G(457)=3,P1(457)=6,P2(457)=14,Z(457)=0
Ptn-458 C: G(458)=3,P1(458)=6,P2(458)=14,Z(458)=0
Ptn-459 C: G(459)=3,P1(459)=6,P2(459)=14,Z(459)=0
Ptn-460 C: G(460)=3,P1(460)=6,P2(460)=14,Z(460)=0
Ptn-461 C: G(461)=1,P1(461)=6,P2(461)=14,Z(461)=1
Ptn-462 C: G(462)=1,P1(462)=6,P2(462)=14,Z(462)=1
Ptn-463 C: G(463)=1,P1(463)=6,P2(463)=14,Z(463)=1
Ptn-464 C: G(464)=1,P1(464)=6,P2(464)=14,Z(464)=1
Ptn-465 C: G(465)=1,P1(465)=6,P2(465)=14,Z(465)=1
Ptn-466 C: G(466)=1,P1(466)=6,P2(466)=14,Z(466)=1
Ptn-467 C: G(467)=1,P1(467)=6,P2(467)=14,Z(467)=1
Ptn-468 C: G(468)=1,P1(468)=6,P2(468)=14,Z(468)=1
Ptn-469 C: G(469)=1,P1(469)=6,P2(469)=14,Z(469)=1
Ptn-470 C: G(470)=1,P1(470)=6,P2(470)=14,Z(470)=1
Ptn-471 C: G(471)=1,P1(471)=6,P2(471)=14,Z(471)=1
Ptn-472 C: G(472)=1,P1(472)=6,P2(472)=14,Z(472)=1
Ptn-473 C: G(473)=1,P1(473)=6,P2(473)=14,Z(473)=1
Ptn-474 C: G(474)=1,P1(474)=6,P2(474)=14,Z(474)=1
Ptn-475 C: G(475)=1,P1(475)=6,P2(475)=14,Z(475)=1
Ptn-476 C: G(476)=1,P1(476)=6,P2(476)=14,Z(476)=1
Ptn-477 C: G(477)=1,P1(477)=6,P2(477)=14,Z(477)=1
Ptn-478 C: G(478)=1,P1(478)=6,P2(478)=14,Z(478)=1
Ptn-479 C: G(479)=1,P1(479)=6,P2(479)=14,Z(479)=1
Ptn-480 C: G(480)=1,P1(480)=6,P2(480)=14,Z(480)=1
Ptn-481 C: G(481)=1,P1(481)=6,P2(481)=14,Z(481)=1
Ptn-482 C: G(482)=1,P1(482)=6,P2(482)=14,Z(482)=1
Ptn-483 C: G(483)=1,P1(483)=6,P2(483)=14,Z(483)=1
Ptn-484 C: G(484)=1,P1(484)=6,P2(484)=14,Z(484)=1
Ptn-485 C: G(485)=1,P1(485)=6,P2(485)=14,Z(485)=1
Ptn-486 C: G(486)=1,P1(486)=6,P2(486)=14,Z(486)=1
Ptn-487 C: G(487)=1,P1(487)=6,P2(487)=14,Z(487)=1
Ptn-488 C: G(488)=1,P1(488)=6,P2(488)=14,Z(488)=1
Ptn-489 C: G(489)=1,P1(489)=6,P2(489)=14,Z(489)=1
Ptn-490 C: G(490)=1,P1(490)=6,P2(490)=14,Z(490)=1
Ptn-491 C: G(491)=1,P1(491)=6,P2(491)=14,Z(491)=1
Ptn-492 C: G(492)=1,P1(492)=6,P2(492)=14,Z(492)=1
Ptn-493 C: G(493)=1,P1(493)=6,P2(493)=14,Z(493)=1
Ptn-494 C: G(494)=1,P1(494)=6,P2(494)=14,Z(494)=1
Ptn-495 C: G(495)=1,P1(495)=6,P2(495)=14,Z(495)=1
Ptn-496 C: G(496)=1,P1(496)=6,P2(496)=14,Z(496)=1
Ptn-497 C: G(497)=1,P1(497)=6,P2(497)=14,Z(497)=1
Ptn-498 C: G(498)=1,P1(498)=6,P2(498)=14,Z(498)=1
Ptn-499 C: G(499)=1,P1(499)=6,P2(499)=14,Z(499)=1
Ptn-500 C: G(500)=1,P1(500)=6,P2(500)=14,Z(500)=1
Ptn-501 C: G(501)=1,P1(501)=6,P2(501)=14,Z(501)=1
Ptn-502 C: G(502)=1,P1(502)=6,P2(502)=14,Z(502)=1
Ptn-503 C: G(503)=1,P1(503)=6,P2(503)=14,Z(503)=1
Ptn-504 C: G(504)=1,P1(504)=6,P2(504)=14,Z(504)=1
Ptn-505 C: G(505)=1,P1(505)=6,P2(505)=14,Z(505)=1
Ptn-506 C: G(506)=1,P1(506)=6,P2(506)=14,Z(506)=1
Ptn-507 C: G(507)=1,P1(507)=6,P2(507)=14,Z(507)=1
Ptn-508 C: G(508)=1,P1(508)=6,P2(508)=14,Z(508)=1
Ptn-509 C: G(509)=1,P1(509)=6,P2(509)=14,Z(509)=1
Ptn-510 C: G(510)=1,P1(510)=6,P2(510)=14,Z(510)=1
Ptn-511 C: G(511)=1,P1(511)=6,P2(511)=14,Z(511)=1
Ptn-512 C: G(512)=1,P1(512)=6,P2(512)=14,Z(512)=1
Ptn-513 C: G(513)=1,P1(513)=6,P2(513)=14,Z(513)=1
Ptn-514 C: G(514)=1,P1(514)=6,P2(514)=14,Z(514)=1
Ptn-515 C: G(515)=1,P1(515)=6,P2(515)=14,Z(515)=1
Ptn-516 C: G(516)=1,P1(516)=6,P2(516)=14,Z(516)=1
Ptn-517 C: G(517)=3,P1(517)=6,P2(517)=14,Z(517)=1
Ptn-518 C: G(518)=1,P1(518)=6,P2(518)=14,Z(518)=0
Ptn-519 C: G(519)=1,P1(519)=6,P2(519)=14,Z(519)=0
Ptn-520 C: G(520)=1,P1(520)=6,P2(520)=14,Z(520)=0
Ptn-521 C: G(521)=1,P1(521)=6,P2(521)=14,Z(521)=0
Ptn-522 C: G(522)=1,P1(522)=6,P2(522)=14,Z(522)=0
Ptn-523 C: G(523)=1,P1(523)=6,P2(523)=14,Z(523)=1
Ptn-524 C: G(524)=1,P1(524)=6,P2(524)=14,Z(524)=1
Ptn-525 C: G(525)=1,P1(525)=6,P2(525)=14,Z(525)=0
Ptn-526 C: G(526)=1,P1(526)=6,P2(526)=14,Z(526)=0
Ptn-527 C: G(527)=1,P1(527)=6,P2(527)=14,Z(527)=1
Ptn-528 C: G(528)=1,P1(528)=6,P2(528)=14,Z(528)=1
Ptn-529 C: G(529)=1,P1(529)=6,P2(529)=14,Z(529)=1
Ptn-530 C: G(530)=1,P1(530)=6,P2(530)=14,Z(530)=1
Ptn-531 C: G(531)=1,P1(531)=6,P2(531)=14,Z(531)=1
Ptn-532 C: G(532)=1,P1(532)=6,P2(532)=14,Z(532)=1
Ptn-533 C: G(533)=1,P1(533)=6,P2(533)=14,Z(533)=0
Ptn-534 C: G(534)=1,P1(534)=6,P2(534)=14,Z(534)=0
Ptn-535 C: G(535)=1,P1(535)=6,P2(535)=14,Z(535)=1
Ptn-536 C: G(536)=1,P1(536)=6,P2(536)=14,Z(536)=1
Ptn-537 C: G(537)=1,P1(537)=6,P2(537)=14,Z(537)=0
Ptn-538 C: G(538)=1,P1(538)=6,P2(538)=14,Z(538)=0
Ptn-539 C: G(539)=1,P1(539)=6,P2(539)=14,Z(539)=0
Ptn-540 C: G(540)=1,P1(540)=6,P2(540)=14,Z(540)=1
Ptn-541 C: G(541)=1,P1(541)=6,P2(541)=14,Z(541)=1
Ptn-542 C: G(542)=1,P1(542)=6,P2(542)=14,Z(542)=1
Ptn-543 C: G(543)=1,P1(543)=6,P2(543)=14,Z(543)=1
Ptn-544 C: G(544)=1,P1(544)=6,P2(544)=14,Z(544)=1
Ptn-545 C: G(545)=1,P1(545)=6,P2(545)=14,Z(545)=1
Ptn-546 C: G(546)=1,P1(546)=6,P2(546)=14,Z(546)=1
Ptn-547 C: G(547)=1,P1(547)=6,P2(547)=14,Z(547)=1
Ptn-548 C: G(548)=1,P1(548)=6,P2(548)=14,Z(548)=0
Ptn-549 C: G(549)=1,P1(549)=6,P2(549)=14,Z(549)=0
Ptn-550 C: G(550)=1,P1(550)=6,P2(550)=14,Z(550)=1
Ptn-551 C: G(551)=1,P1(551)=6,P2(551)=14,Z(551)=1
Ptn-552 C: G(552)=1,P1(552)=6,P2(552)=14,Z(552)=1
Ptn-553 C: G(553)=1,P1(553)=6,P2(553)=14,Z(553)=1
Ptn-554 C: G(554)=1,P1(554)=6,P2(554)=14,Z(554)=1
Ptn-555 C: G(555)=1,P1(555)=6,P2(555)=14,Z(555)=1
Ptn-556 C: G(556)=1,P1(556)=6,P2(556)=14,Z(556)=1
Ptn-557 C: G(557)=1,P1(557)=6,P2(557)=14,Z(557)=0
Ptn-558 C: G(558)=1,P1(558)=6,P2(558)=14,Z(558)=0
Ptn-559 C: G(559)=1,P1(559)=6,P2(559)=14,Z(559)=0
Ptn-560 C: G(560)=1,P1(560)=6,P2(560)=14,Z(560)=0
Ptn-561 C: G(561)=1,P1(561)=6,P2(561)=14,Z(561)=0
Ptn-562 C: G(562)=1,P1(562)=6,P2(562)=14,Z(562)=1
Ptn-563 C: G(563)=1,P1(563)=6,P2(563)=14,Z(563)=1
Ptn-564 C: G(564)=1,P1(564)=6,P2(564)=14,Z(564)=1
Ptn-565 C: G(565)=1,P1(565)=6,P2(565)=14,Z(565)=1
Ptn-566 C: G(566)=1,P1(566)=6,P2(566)=14,Z(566)=1
Ptn-567 C: G(567)=1,P1(567)=6,P2(567)=14,Z(567)=1
Ptn-568 C: G(568)=1,P1(568)=6,P2(568)=14,Z(568)=1
Ptn-569 C: G(569)=1,P1(569)=6,P2(569)=14,Z(569)=0
Ptn-570 C: G(570)=1,P1(570)=6,P2(570)=14,Z(570)=0
Ptn-571 C: G(571)=1,P1(571)=6,P2(571)=14,Z(571)=0
Ptn-572 C: G(572)=1,P1(572)=6,P2(572)=14,Z(572)=0
Ptn-573 C: G(573)=1,P1(573)=6,P2(573)=14,Z(573)=1
Ptn-574 C: G(574)=1,P1(574)=6,P2(574)=14,Z(574)=0
Ptn-575 C: G(575)=1,P1(575)=6,P2(575)=14,Z(575)=1
Ptn-576 C: G(576)=1,P1(576)=6,P2(576)=14,Z(576)=1
Ptn-577 C: G(577)=1,P1(577)=6,P2(577)=14,Z(577)=1
Ptn-578 C: G(578)=1,P1(578)=6,P2(578)=14,Z(578)=1
Ptn-579 C: G(579)=0,P1(579)=6,P2(579)=14,Z(579)=0
Ptn-580 C: G(580)=0,P1(580)=6,P2(580)=14,Z(580)=0
Ptn-581 C: G(581)=1,P1(581)=6,P2(581)=14,Z(581)=1
Ptn-582 C: G(582)=1,P1(582)=6,P2(582)=14,Z(582)=1
Ptn-583 C: G(583)=1,P1(583)=6,P2(583)=14,Z(583)=1
Ptn-584 C: G(584)=1,P1(584)=6,P2(584)=14,Z(584)=1
Ptn-585 C: G(585)=1,P1(585)=6,P2(585)=14,Z(585)=1
Ptn-586 C: G(586)=1,P1(586)=6,P2(586)=14,Z(586)=1
Ptn-587 C: G(587)=1,P1(587)=6,P2(587)=14,Z(587)=1
Ptn-588 C: G(588)=1,P1(588)=6,P2(588)=14,Z(588)=1
Ptn-589 C: G(589)=1,P1(589)=6,P2(589)=14,Z(589)=0
Ptn-590 C: G(590)=1,P1(590)=6,P2(590)=14,Z(590)=0
Ptn-591 C: G(591)=1,P1(591)=6,P2(591)=14,Z(591)=1
Ptn-592 C: G(592)=1,P1(592)=6,P2(592)=14,Z(592)=1
Ptn-593 C: G(593)=1,P1(593)=6,P2(593)=14,Z(593)=0
Ptn-594 C: G(594)=1,P1(594)=6,P2(594)=14,Z(594)=0
Ptn-595 C: G(595)=1,P1(595)=6,P2(595)=14,Z(595)=0
Ptn-596 C: G(596)=1,P1(596)=6,P2(596)=14,Z(596)=0
Ptn-597 C: G(597)=1,P1(597)=6,P2(597)=14,Z(597)=0
Ptn-598 C: G(598)=1,P1(598)=6,P2(598)=14,Z(598)=0
Ptn-599 C: G(599)=1,P1(599)=6,P2(599)=14,Z(599)=1
Ptn-600 C: G(600)=1,P1(600)=6,P2(600)=14,Z(600)=1
Ptn-601 C: G(601)=1,P1(601)=6,P2(601)=14,Z(601)=1
Ptn-602 C: G(602)=1,P1(602)=6,P2(602)=14,Z(602)=1
Ptn-603 C: G(603)=1,P1(603)=6,P2(603)=14,Z(603)=0
Ptn-604 C: G(604)=1,P1(604)=6,P2(604)=14,Z(604)=1
Ptn-605 C: G(605)=1,P1(605)=6,P2(605)=14,Z(605)=1
Ptn-606 C: G(606)=1,P1(606)=6,P2(606)=14,Z(606)=1
Ptn-607 C: G(607)=1,P1(607)=6,P2(607)=14,Z(607)=0
Ptn-608 C: G(608)=1,P1(608)=6,P2(608)=14,Z(608)=1
Ptn-609 C: G(609)=1,P1(609)=6,P2(609)=14,Z(609)=1
Ptn-610 C: G(610)=1,P1(610)=6,P2(610)=14,Z(610)=1
Ptn-611 C: G(611)=1,P1(611)=6,P2(611)=14,Z(611)=1
Ptn-612 C: G(612)=1,P1(612)=6,P2(612)=14,Z(612)=0
Ptn-613 C: G(613)=1,P1(613)=6,P2(613)=14,Z(613)=0
Ptn-614 C: G(614)=1,P1(614)=6,P2(614)=14,Z(614)=1
Ptn-615 C: G(615)=1,P1(615)=6,P2(615)=14,Z(615)=1
Ptn-616 C: G(616)=1,P1(616)=6,P2(616)=14,Z(616)=0
Ptn-617 C: G(617)=1,P1(617)=6,P2(617)=14,Z(617)=0
Ptn-618 C: G(618)=1,P1(618)=6,P2(618)=14,Z(618)=0
Ptn-619 C: G(619)=1,P1(619)=6,P2(619)=14,Z(619)=0
Ptn-620 C: G(620)=1,P1(620)=6,P2(620)=14,Z(620)=0
Ptn-621 C: G(621)=1,P1(621)=6,P2(621)=14,Z(621)=0
Ptn-622 C: G(622)=1,P1(622)=6,P2(622)=14,Z(622)=0
Ptn-623 C: G(623)=1,P1(623)=6,P2(623)=14,Z(623)=0
Ptn-624 C: G(624)=1,P1(624)=6,P2(624)=14,Z(624)=0
Ptn-625 C: G(625)=1,P1(625)=6,P2(625)=14,Z(625)=0
Ptn-626 C: G(626)=1,P1(626)=6,P2(626)=14,Z(626)=0
Ptn-627 C: G(627)=1,P1(627)=6,P2(627)=14,Z(627)=0
Ptn-628 C: G(628)=1,P1(628)=6,P2(628)=14,Z(628)=0
Ptn-629 C: G(629)=1,P1(629)=6,P2(629)=14,Z(629)=0
Ptn-630 C: G(630)=1,P1(630)=6,P2(630)=14,Z(630)=0
Ptn-631 C: G(631)=1,P1(631)=6,P2(631)=14,Z(631)=0
Ptn-632 C: G(632)=1,P1(632)=6,P2(632)=14,Z(632)=0
Ptn-633 C: G(633)=1,P1(633)=6,P2(633)=14,Z(633)=0
Ptn-634 C: G(634)=1,P1(634)=6,P2(634)=14,Z(634)=0
Ptn-635 C: G(635)=1,P1(635)=6,P2(635)=14,Z(635)=0
Ptn-636 C: G(636)=1,P1(636)=6,P2(636)=14,Z(636)=0
Ptn-637 C: G(637)=1,P1(637)=6,P2(637)=14,Z(637)=0
Ptn-638 C: G(638)=1,P1(638)=6,P2(638)=14,Z(638)=0
Ptn-639 C: G(639)=1,P1(639)=6,P2(639)=14,Z(639)=1
Ptn-640 C: G(640)=1,P1(640)=6,P2(640)=14,Z(640)=1
Ptn-641 C: G(641)=1,P1(641)=6,P2(641)=14,Z(641)=1
Ptn-642 C: G(642)=1,P1(642)=6,P2(642)=14,Z(642)=0
Ptn-643 C: G(643)=1,P1(643)=6,P2(643)=14,Z(643)=1
Ptn-644 C: G(644)=1,P1(644)=6,P2(644)=14,Z(644)=1
Ptn-645 C: G(645)=1,P1(645)=6,P2(645)=14,Z(645)=1
Ptn-646 C: G(646)=1,P1(646)=6,P2(646)=14,Z(646)=1
Ptn-647 C: G(647)=1,P1(647)=6,P2(647)=14,Z(647)=1
Ptn-648 C: G(648)=1,P1(648)=6,P2(648)=14,Z(648)=1
Ptn-649 C: G(649)=1,P1(649)=6,P2(649)=14,Z(649)=0
Ptn-650 C: G(650)=1,P1(650)=6,P2(650)=14,Z(650)=1
Ptn-651 C: G(651)=1,P1(651)=6,P2(651)=14,Z(651)=1
Ptn-652 C: G(652)=1,P1(652)=6,P2(652)=14,Z(652)=1
Ptn-653 C: G(653)=1,P1(653)=6,P2(653)=14,Z(653)=0
Ptn-654 C: G(654)=1,P1(654)=6,P2(654)=14,Z(654)=0
Ptn-655 C: G(655)=1,P1(655)=6,P2(655)=14,Z(655)=0
Ptn-656 C: G(656)=1,P1(656)=6,P2(656)=14,Z(656)=0
Ptn-657 C: G(657)=1,P1(657)=6,P2(657)=14,Z(657)=0
Ptn-658 C: G(658)=1,P1(658)=6,P2(658)=14,Z(658)=0
Ptn-659 C: G(659)=1,P1(659)=6,P2(659)=14,Z(659)=0
Ptn-660 C: G(660)=1,P1(660)=6,P2(660)=14,Z(660)=0
Ptn-661 C: G(661)=1,P1(661)=6,P2(661)=14,Z(661)=0
Ptn-662 C: G(662)=3,P1(662)=6,P2(662)=14,Z(662)=0
Ptn-663 C: G(663)=3,P1(663)=6,P2(663)=14,Z(663)=0
Ptn-664 C: G(664)=3,P1(664)=6,P2(664)=14,Z(664)=0
Ptn-665 C: G(665)=3,P1(665)=6,P2(665)=14,Z(665)=0
Ptn-666 C: G(666)=3,P1(666)=6,P2(666)=14,Z(666)=1
Ptn-667 C: G(667)=3,P1(667)=6,P2(667)=14,Z(667)=1
Ptn-668 C: G(668)=3,P1(668)=6,P2(668)=14,Z(668)=0
Ptn-669 C: G(669)=1,P1(669)=6,P2(669)=14,Z(669)=0
Ptn-670 C: G(670)=1,P1(670)=6,P2(670)=14,Z(670)=0
Ptn-671 C: G(671)=1,P1(671)=6,P2(671)=14,Z(671)=0
Ptn-672 C: G(672)=1,P1(672)=6,P2(672)=14,Z(672)=0
Ptn-673 C: G(673)=1,P1(673)=6,P2(673)=14,Z(673)=1
Ptn-674 C: G(674)=1,P1(674)=6,P2(674)=14,Z(674)=1
Ptn-675 C: G(675)=1,P1(675)=6,P2(675)=14,Z(675)=1
Ptn-676 C: G(676)=1,P1(676)=6,P2(676)=14,Z(676)=1
Ptn-677 C: G(677)=1,P1(677)=6,P2(677)=14,Z(677)=1
Ptn-678 C: G(678)=1,P1(678)=6,P2(678)=14,Z(678)=1
Ptn-679 C: G(679)=1,P1(679)=6,P2(679)=14,Z(679)=1
Ptn-680 C: G(680)=1,P1(680)=6,P2(680)=14,Z(680)=1
Ptn-681 C: G(681)=1,P1(681)=6,P2(681)=14,Z(681)=1
Ptn-682 C: G(682)=1,P1(682)=6,P2(682)=14,Z(682)=1
Ptn-683 C: G(683)=1,P1(683)=6,P2(683)=14,Z(683)=1
Ptn-684 C: G(684)=0,P1(684)=6,P2(684)=14,Z(684)=0
Ptn-685 C: G(685)=0,P1(685)=6,P2(685)=14,Z(685)=0
Ptn-686 C: G(686)=0,P1(686)=6,P2(686)=14,Z(686)=0
Ptn-687 C: G(687)=0,P1(687)=6,P2(687)=14,Z(687)=0
Ptn-688 C: G(688)=1,P1(688)=6,P2(688)=14,Z(688)=1
Ptn-689 C: G(689)=0,P1(689)=6,P2(689)=14,Z(689)=0
Ptn-690 C: G(690)=1,P1(690)=6,P2(690)=14,Z(690)=1
Ptn-691 C: G(691)=1,P1(691)=6,P2(691)=14,Z(691)=0
Ptn-692 C: G(692)=1,P1(692)=6,P2(692)=14,Z(692)=1
